title,artist,year,perc_bad_words
"Hey, Soul Sister",Train,2010,0
Love The Way You Lie,Eminem,2010,0.8196721
TiK ToK,Kesha,2010,0
Bad Romance,Lady Gaga,2010,0.9596929
Just the Way You Are,Bruno Mars,2010,0
Baby,Justin Bieber,2010,0
Dynamite,Taio Cruz,2010,0.26954177
Secrets,OneRepublic,2010,0
Empire State of Mind (Part II) Broken Down,Alicia Keys,2010,0
Only Girl (In The World),Rihanna,2010,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,0
Marry You,Bruno Mars,2010,0
Cooler Than Me - Single Mix,Mike Posner,2010,0
Telephone,Lady Gaga,2010,0
Like A G6,Far East Movement,2010,0
OMG (feat. will.i.am),Usher,2010,0
Eenie Meenie,Sean Kingston,2010,0
The Time (Dirty Bit),The Black Eyed Peas,2010,0
Alejandro,Lady Gaga,2010,0
Your Love Is My Drug,Kesha,2010,0
Meet Me Halfway,The Black Eyed Peas,2010,0
Whataya Want from Me,Adam Lambert,2010,0
Take It Off,Kesha,2010,0
Misery,Maroon 5,2010,0
All The Right Moves,OneRepublic,2010,0
Animal,Neon Trees,2010,0
Naturally,Selena Gomez & The Scene,2010,0
I Like It,Enrique Iglesias,2010,0
Teenage Dream,Katy Perry,2010,0
California Gurls,Katy Perry,2010,0.4796163
3,Britney Spears,2010,0
My First Kiss - feat. Ke$ha,3OH!3,2010,0
Blah Blah Blah (feat. 3OH!3),Kesha,2010,0
Imma Be,The Black Eyed Peas,2010,1.5209125
Try Sleeping with a Broken Heart,Alicia Keys,2010,0
Sexy Bitch (feat. Akon),David Guetta,2010,0
If I Had You,Adam Lambert,2010,0
Rock That Body,The Black Eyed Peas,2010,0.99601597
Dog Days Are Over,Florence + The Machine,2010,0
Doesn't Mean Anything,Alicia Keys,2010,0
Hard,Rihanna,2010,0.2766252
Loca,Shakira,2010,0
You Lost Me,Christina Aguilera,2010,0
Not Myself Tonight,Christina Aguilera,2010,0.6514658
Written in the Stars (feat. Eric Turner),Tinie Tempah,2010,0
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010,0
Castle Walls (feat. Christina Aguilera),T.I.,2010,0.93167704
Break Your Heart,Taio Cruz,2010,0
Hello,Martin Solveig,2010,0
A Thousand Years,Christina Perri,2011,0
Someone Like You,Adele,2011,0
Give Me Everything,Pitbull,2011,0
Rolling in the Deep,Adele,2011,0.18181819
Grenade,Bruno Mars,2011,0
Tonight Tonight,Hot Chelle Rae,2011,0
What the Hell,Avril Lavigne,2011,0
Born This Way,Lady Gaga,2011,0
Monster,Kanye West,2011,5.666004
Party Rock Anthem,LMFAO,2011,0
We R Who We R,Kesha,2011,0.27855152
Price Tag,Jessie J,2011,0.1912046
Good Life,OneRepublic,2011,0
On The Floor,Jennifer Lopez,2011,0.32786885
What's My Name?,Rihanna,2011,0
Yeah 3x,Chris Brown,2011,0.24875621
Without You (feat. Usher),David Guetta,2011,0
Sexy And I Know It,LMFAO,2011,0
The Edge Of Glory,Lady Gaga,2011,0
E.T.,Katy Perry,2011,0
Till the World Ends,Britney Spears,2011,0
I Wanna Go,Britney Spears,2011,0
Blow,Kesha,2011,0
You And I,Lady Gaga,2011,0
Judas,Lady Gaga,2011,0
Tonight (I'm Fuckin' You),Enrique Iglesias,2011,7.216495
Please Don't Go,Mike Posner,2011,0
We Found Love,Rihanna,2011,0
Marry The Night,Lady Gaga,2011,0
Hold It Against Me,Britney Spears,2011,0
I'm Into You,Jennifer Lopez,2011,0.17452008
Papi,Jennifer Lopez,2011,0
Cheers (Drink To That),Rihanna,2011,0
S&M Remix,Rihanna,2011,0.9560229
Jar of Hearts,Christina Perri,2011,0
Turning Page,Sleeping At Last,2011,0
Super Bass,Nicki Minaj,2011,0.30165914
Raise Your Glass,P!nk,2011,1.0075567
Invading My Mind,Jennifer Lopez,2011,0
Last Friday Night (T.G.I.F.),Katy Perry,2011,0
Firework,Katy Perry,2011,0
Rise,Katy Perry,2016,0
Titanium (feat. Sia),David Guetta,2012,0
Locked Out of Heaven,Bruno Mars,2012,1.2345679
Paradise,Coldplay,2012,0
Payphone,Maroon 5,2012,1.5929203
What Makes You Beautiful,One Direction,2012,0
I Knew You Were Trouble.,Taylor Swift,2012,0
Call Me Maybe,Carly Rae Jepsen,2012,0
Love You Like A Love Song,Selena Gomez & The Scene,2012,0
Set Fire to the Rain,Adele,2012,0
We Are Never Ever Getting Back Together,Taylor Swift,2012,0
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,0
Try,P!nk,2012,0
Starships,Nicki Minaj,2012,3.1331592
One More Night,Maroon 5,2012,0
Good Time,Owl City,2012,0
Glad You Came,The Wanted,2012,0
Beauty And A Beat,Justin Bieber,2012,0.30959752
International Love,Pitbull,2012,0
Some Nights,fun.,2012,0.21052632
Boyfriend,Justin Bieber,2012,0
Part Of Me,Katy Perry,2012,0
Domino,Jessie J,2012,0
Where Have You Been,Rihanna,2012,0
Wide Awake,Katy Perry,2012,0
The One That Got Away,Katy Perry,2012,0
Dance Again,Jennifer Lopez,2012,0
Turn Up the Music,Chris Brown,2012,0
Lights - Single Version,Ellie Goulding,2012,0
Diamonds,Rihanna,2012,0
Don't Stop the Party (feat. TJR),Pitbull,2012,0
You Da One,Rihanna,2012,0.19880715
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2012,0
It Will Rain,Bruno Mars,2012,0
Blow Me (One Last Kiss),P!nk,2012,2.0618556
Underneath the Tree,Kelly Clarkson,2013,0
Wake Me Up,Avicii,2013,0
Story of My Life,One Direction,2013,0
Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,0
Hall of Fame,The Script,2013,0
Roar,Katy Perry,2013,0
We Can't Stop,Miley Cyrus,2013,0
Don't You Worry Child - Radio Edit,Swedish House Mafia,2013,0
Wrecking Ball,Miley Cyrus,2013,0
Impossible,James Arthur,2013,0
Blurred Lines,Robin Thicke,2013,0.6702413
Heart Attack,Demi Lovato,2013,0
Die Young,Kesha,2013,0
Clarity,Zedd,2013,0
Under Control,Calvin Harris,2013,0
Everybody Talks,Neon Trees,2013,0.35460994
"Hold On, We''re Going Home",Drake,2013,0
Best Song Ever,One Direction,2013,0
Kiss You,One Direction,2013,0
Sweet Nothing (feat. Florence Welch),Calvin Harris,2013,0
Lose Yourself to Dance,Daft Punk,2013,0
Work Bitch,Britney Spears,2013,2.4390244
Brave,Sara Bareilles,2013,0
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2013,0
Feel This Moment (feat. Christina Aguilera),Pitbull,2013,0
Beneath Your Beautiful,Labrinth,2013,0
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,0
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2013,0
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,2013,0
The Way,Ariana Grande,2013,0
Suit & Tie,Justin Timberlake,2013,0.9655172
#thatPOWER,will.i.am,2013,0
I Love It (feat. Charli XCX),Icona Pop,2013,0.16528925
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,2013,0
Daylight,Maroon 5,2013,0
Love Somebody,Maroon 5,2013,0
A Little Party Never Killed Nobody (All We Got),Fergie,2013,0
Move,Little Mix,2013,0
Walks Like Rihanna,The Wanted,2013,0
Rock N Roll,Avril Lavigne,2013,0.21929824
Heartbreaker,Justin Bieber,2013,0
Mirrors - Radio Edit,Justin Timberlake,2013,0
Made In The USA,Demi Lovato,2013,0
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,2013,0
TKO,Justin Timberlake,2013,0.36452004
Come & Get It,Selena Gomez,2013,0
Live It Up,Jennifer Lopez,2013,1.1627907
We Own The Night,The Wanted,2013,0
What About Love,Austin Mahone,2013,0
Take Back the Night,Justin Timberlake,2013,0
Applause,Lady Gaga,2013,0
Anything Could Happen,Ellie Goulding,2013,0
Finally Found You,Enrique Iglesias,2013,0.47058824
Pom Poms,Jonas Brothers,2013,0
#Beautiful,Mariah Carey,2013,3.3834586
How Ya Doin'? (feat. Missy Elliott),Little Mix,2013,0
Crazy Kids (feat. will.i.am),Kesha,2013,0
Ooh La La (from The Smurfs 2),Britney Spears,2013,0
People Like Us,Kelly Clarkson,2013,0
Overdose,Ciara,2013,0
Right Now - Dyro Radio Edit,Rihanna,2013,0
Give It 2 U,Robin Thicke,2013,0.19157088
Foolish Games,Jewel,2013,0
Outta Nowhere (feat. Danny Mercer),Pitbull,2013,0.46728972
Freak,Kelly Rowland,2013,0.5464481
All of Me,John Legend,2014,0
Stay With Me,Sam Smith,2014,0
Summer,Calvin Harris,2014,0
Rude,MAGIC!,2014,0
Shake It Off,Taylor Swift,2014,0
Dark Horse,Katy Perry,2014,0
Hey Brother,Avicii,2014,0
Maps,Maroon 5,2014,0
Treasure,Bruno Mars,2014,0
Let Her Go,Passenger,2014,0
Problem,Ariana Grande,2014,0
Pompeii,Bastille,2014,0
Team,Lorde,2014,0
Love Me Again,John Newman,2014,0
Latch,Disclosure,2014,0
Adore You,Miley Cyrus,2014,0
Love Never Felt So Good,Michael Jackson,2014,0
Burn,Ellie Goulding,2014,0
She Looks So Perfect,5 Seconds of Summer,2014,0
Fancy,Iggy Azalea,2014,0.42194092
Talk Dirty (feat. 2 Chainz),Jason Derulo,2014,0.58365756
Gorilla,Bruno Mars,2014,0.74812967
human,Christina Perri,2014,0
Young Girls,Bruno Mars,2014,0
Wiggle (feat. Snoop Dogg),Jason Derulo,2014,1.6949153
Love Runs Out,OneRepublic,2014,0
This Is How We Do,Katy Perry,2014,0
Mmm Yeah (feat. Pitbull),Austin Mahone,2014,0
#SELFIE,The Chainsmokers,2014,0.28818443
Birthday,Katy Perry,2014,0
G.U.Y.,Lady Gaga,2014,0.26041666
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,2014,0
Let It Go - From Frozen / Single Version,Demi Lovato,2014,0.032020494
Wings,Birdy,2014,0
