title,artist,year,top genre,pop
"Hey, Soul Sister",Train,2010,neo mellow,83
Love The Way You Lie,Eminem,2010,detroit hip hop,82
TiK ToK,Kesha,2010,dance pop,80
Bad Romance,Lady Gaga,2010,dance pop,79
Just the Way You Are,Bruno Mars,2010,pop,78
Baby,Justin Bieber,2010,canadian pop,77
Dynamite,Taio Cruz,2010,dance pop,77
Secrets,OneRepublic,2010,dance pop,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,2010,hip pop,76
Only Girl (In The World),Rihanna,2010,barbadian pop,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,dance pop,73
Marry You,Bruno Mars,2010,pop,73
Cooler Than Me - Single Mix,Mike Posner,2010,dance pop,73
Telephone,Lady Gaga,2010,dance pop,73
Like A G6,Far East Movement,2010,dance pop,72
OMG (feat. will.i.am),Usher,2010,atl hip hop,72
Eenie Meenie,Sean Kingston,2010,dance pop,71
The Time (Dirty Bit),The Black Eyed Peas,2010,dance pop,70
Alejandro,Lady Gaga,2010,dance pop,69
Your Love Is My Drug,Kesha,2010,dance pop,69
Meet Me Halfway,The Black Eyed Peas,2010,dance pop,68
Whataya Want from Me,Adam Lambert,2010,australian pop,66
Take It Off,Kesha,2010,dance pop,66
Misery,Maroon 5,2010,pop,65
All The Right Moves,OneRepublic,2010,dance pop,65
Animal,Neon Trees,2010,indie pop,65
Naturally,Selena Gomez & The Scene,2010,dance pop,64
I Like It,Enrique Iglesias,2010,dance pop,63
Teenage Dream,Katy Perry,2010,dance pop,63
California Gurls,Katy Perry,2010,dance pop,62
3,Britney Spears,2010,dance pop,62
My First Kiss - feat. Ke$ha,3OH!3,2010,dance pop,62
Blah Blah Blah (feat. 3OH!3),Kesha,2010,dance pop,62
Imma Be,The Black Eyed Peas,2010,dance pop,62
Try Sleeping with a Broken Heart,Alicia Keys,2010,hip pop,62
Sexy Bitch (feat. Akon),David Guetta,2010,dance pop,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,dance pop,61
If I Had You,Adam Lambert,2010,australian pop,59
Rock That Body,The Black Eyed Peas,2010,dance pop,59
Dog Days Are Over,Florence + The Machine,2010,art pop,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,dance pop,58
Doesn't Mean Anything,Alicia Keys,2010,hip pop,57
Hard,Rihanna,2010,barbadian pop,57
Loca,Shakira,2010,colombian pop,56
You Lost Me,Christina Aguilera,2010,dance pop,56
Not Myself Tonight,Christina Aguilera,2010,dance pop,55
Written in the Stars (feat. Eric Turner),Tinie Tempah,2010,dance pop,52
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010,atl hip hop,52
Castle Walls (feat. Christina Aguilera),T.I.,2010,atl hip hop,49
Break Your Heart,Taio Cruz,2010,dance pop,33
Hello,Martin Solveig,2010,big room,0
A Thousand Years,Christina Perri,2011,dance pop,81
Someone Like You,Adele,2011,british soul,80
Give Me Everything,Pitbull,2011,dance pop,79
Just the Way You Are,Bruno Mars,2011,pop,78
Rolling in the Deep,Adele,2011,british soul,76
Run the World (Girls),Beyoncé,2011,dance pop,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011,pop,76
Love On Top,Beyoncé,2011,dance pop,76
Grenade,Bruno Mars,2011,pop,75
Tonight Tonight,Hot Chelle Rae,2011,dance pop,75
What the Hell,Avril Lavigne,2011,canadian pop,74
Born This Way,Lady Gaga,2011,dance pop,73
Monster,Kanye West,2011,chicago rap,73
Marry You,Bruno Mars,2011,pop,73
Best Thing I Never Had,Beyoncé,2011,dance pop,73
Party Rock Anthem,LMFAO,2011,dance pop,72
We R Who We R,Kesha,2011,dance pop,72
Price Tag,Jessie J,2011,australian pop,72
Good Life,OneRepublic,2011,dance pop,72
Just Cant Get Enough,The Black Eyed Peas,2011,dance pop,71
On The Floor,Jennifer Lopez,2011,dance pop,69
What's My Name?,Rihanna,2011,barbadian pop,69
Yeah 3x,Chris Brown,2011,dance pop,69
Without You (feat. Usher),David Guetta,2011,dance pop,68
Sexy And I Know It,LMFAO,2011,dance pop,67
The Edge Of Glory,Lady Gaga,2011,dance pop,67
E.T.,Katy Perry,2011,dance pop,66
Till the World Ends,Britney Spears,2011,dance pop,65
I Wanna Go,Britney Spears,2011,dance pop,64
Blow,Kesha,2011,dance pop,64
You And I,Lady Gaga,2011,dance pop,64
Judas,Lady Gaga,2011,dance pop,63
Tonight (I'm Fuckin' You),Enrique Iglesias,2011,dance pop,63
Please Don't Go,Mike Posner,2011,dance pop,63
We Found Love,Rihanna,2011,barbadian pop,61
Marry The Night,Lady Gaga,2011,dance pop,61
1+1,Beyoncé,2011,dance pop,60
Hold It Against Me,Britney Spears,2011,dance pop,59
I'm Into You,Jennifer Lopez,2011,dance pop,59
Papi,Jennifer Lopez,2011,dance pop,58
Cheers (Drink To That),Rihanna,2011,barbadian pop,58
S&M Remix,Rihanna,2011,barbadian pop,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,2011,dance pop,52
Jar of Hearts,Christina Perri,2011,dance pop,50
Castle Walls (feat. Christina Aguilera),T.I.,2011,atl hip hop,49
Turning Page,Sleeping At Last,2011,acoustic pop,46
Super Bass,Nicki Minaj,2011,dance pop,38
Raise Your Glass,P!nk,2011,dance pop,38
Invading My Mind,Jennifer Lopez,2011,dance pop,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,2011,dance pop,28
Last Friday Night (T.G.I.F.),Katy Perry,2011,dance pop,27
Firework,Katy Perry,2011,dance pop,25
Muny - Album Version (Edited),Nicki Minaj,2011,dance pop,7
Titanium (feat. Sia),David Guetta,2012,dance pop,80
Locked Out of Heaven,Bruno Mars,2012,pop,79
Paradise,Coldplay,2012,permanent wave,79
Payphone,Maroon 5,2012,pop,79
What Makes You Beautiful,One Direction,2012,boy band,78
I Knew You Were Trouble.,Taylor Swift,2012,pop,77
Call Me Maybe,Carly Rae Jepsen,2012,canadian pop,76
Love You Like A Love Song,Selena Gomez & The Scene,2012,dance pop,76
Set Fire to the Rain,Adele,2012,british soul,76
We Are Never Ever Getting Back Together,Taylor Swift,2012,pop,75
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,dance pop,74
Try,P!nk,2012,dance pop,74
Starships,Nicki Minaj,2012,dance pop,73
One More Night,Maroon 5,2012,pop,73
Good Time,Owl City,2012,pop,73
Glad You Came,The Wanted,2012,boy band,72
Beauty And A Beat,Justin Bieber,2012,canadian pop,72
International Love,Pitbull,2012,dance pop,72
Some Nights,fun.,2012,baroque pop,72
Boyfriend,Justin Bieber,2012,canadian pop,71
Part Of Me,Katy Perry,2012,dance pop,71
Domino,Jessie J,2012,australian pop,69
Where Have You Been,Rihanna,2012,barbadian pop,68
Wide Awake,Katy Perry,2012,dance pop,68
The One That Got Away,Katy Perry,2012,dance pop,67
Dance Again,Jennifer Lopez,2012,dance pop,66
Turn Up the Music,Chris Brown,2012,dance pop,65
Lights - Single Version,Ellie Goulding,2012,dance pop,65
We Are Young (feat. Janelle Monáe),fun.,2012,baroque pop,63
Diamonds,Rihanna,2012,barbadian pop,61
Don't Stop the Party (feat. TJR),Pitbull,2012,dance pop,59
You Da One,Rihanna,2012,barbadian pop,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2012,dance pop,54
It Will Rain,Bruno Mars,2012,pop,38
Blow Me (One Last Kiss),P!nk,2012,dance pop,0
Underneath the Tree,Kelly Clarkson,2013,dance pop,88
Wake Me Up,Avicii,2013,big room,85
Story of My Life,One Direction,2013,boy band,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,dance pop,81
Hall of Fame,The Script,2013,celtic rock,80
Roar,Katy Perry,2013,dance pop,78
We Can't Stop,Miley Cyrus,2013,dance pop,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,2013,big room,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2013,electro,77
Wrecking Ball,Miley Cyrus,2013,dance pop,77
Impossible,James Arthur,2013,pop,77
Blurred Lines,Robin Thicke,2013,dance pop,76
Heart Attack,Demi Lovato,2013,dance pop,76
We Are Never Ever Getting Back Together,Taylor Swift,2013,pop,75
Die Young,Kesha,2013,dance pop,75
Clarity,Zedd,2013,complextro,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,2013,art pop,74
Under Control,Calvin Harris,2013,dance pop,74
Everybody Talks,Neon Trees,2013,indie pop,74
"Hold On, We're Going Home",Drake,2013,canadian hip hop,73
Best Song Ever,One Direction,2013,boy band,73
Kiss You,One Direction,2013,boy band,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,2013,dance pop,72
Lose Yourself to Dance,Daft Punk,2013,electro,72
Work Bitch,Britney Spears,2013,dance pop,71
Brave,Sara Bareilles,2013,acoustic pop,71
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2013,dance pop,70
Feel This Moment (feat. Christina Aguilera),Pitbull,2013,dance pop,70
Beneath Your Beautiful,Labrinth,2013,pop,70
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,dance pop,70
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2013,dance pop,69
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,2013,dance pop,69
The Way,Ariana Grande,2013,dance pop,68
Suit & Tie,Justin Timberlake,2013,dance pop,68
#thatPOWER,will.i.am,2013,dance pop,68
I Love It (feat. Charli XCX),Icona Pop,2013,candy pop,67
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,2013,dance pop,67
Daylight,Maroon 5,2013,pop,66
Love Somebody,Maroon 5,2013,pop,65
A Little Party Never Killed Nobody (All We Got),Fergie,2013,dance pop,65
Move,Little Mix,2013,dance pop,63
Walks Like Rihanna,The Wanted,2013,boy band,62
Rock N Roll,Avril Lavigne,2013,canadian pop,61
Heartbreaker,Justin Bieber,2013,canadian pop,61
Mirrors - Radio Edit,Justin Timberlake,2013,dance pop,60
